Home Team,2004,2008,2011,2014,2016,2018,2019,Grand Total
NYY,1,10,2,14,18,3,4,1
STL,2,3,6,11,8,10,8,2
BOS,4,4,14,23,5,1,15,3
CHC,6,5,27,28,1,6,7,4
LAA,8,1,5,5,26,9,19,5
PHI,19,9,1,24,20,11,6,6
LAD,7,19,26,7,14,18,1,7
MIL,17,7,15,2,27,8,10,8
OAK,11,11,24,1,22,12,14,9
TEX,3,16,3,20,3,23,16,10
ATL,14,20,4,8,29,4,9,11
WSN,,30,18,6,4,14,13,12
TBR,26,2,10,22,24,21,5,13
SFG,16,26,11,3,6,19,24,14
HOU,10,18,30,29,19,2,3,15
CLE,22,23,9,18,9,16,11,16
TOR,25,15,17,13,7,17,26,17
PIT,18,21,19,16,12,13,25,18
MIA,9,13,7,15,16,24,28,19
NYM,23,17,21,25,17,20,17,20
SEA,27,27,25,12,15,5,21,21
ARI,30,8,16,30,25,7,12,22
MIN,5,14,29,21,30,22,2,23
CHW,12,6,23,19,13,29,23,24
CIN,13,22,13,17,23,27,22,25
BAL,20,12,20,9,2,28,30,26
DET,21,25,8,4,10,26,29,27
COL,24,29,12,27,21,15,20,28
SDP,15,28,28,26,28,25,18,29
KCR,28,24,22,10,11,30,27,30
MON,29,,,,,,,31
